Pais,Cerveja,Destilados,Vinho,LitrosAlcool,TotalBebidas,NivelConsumo
Afghanistan,0,0,0,0.0,0,Muito Baixo
Albania,89,132,54,4.9,275,Baixo
Algeria,25,0,14,0.7,39,Muito Baixo
Andorra,245,138,312,12.4,695,Alto
Angola,217,57,45,5.9,319,Médio
Antigua & Barbuda,102,128,45,4.9,275,Baixo
Argentina,193,25,221,8.3,439,Alto
Armenia,21,179,11,3.8,211,Baixo
Australia,261,72,212,10.4,545,Alto
Austria,279,75,191,9.7,545,Alto
Azerbaijan,21,46,5,1.3,72,Muito Baixo
Bahamas,122,176,51,6.3,349,Médio
Bahrain,42,63,7,2.0,112,Baixo
Bangladesh,0,0,0,0.0,0,Muito Baixo
Barbados,143,173,36,6.3,352,Médio
Belarus,142,373,42,14.4,557,Alto
Belgium,295,84,212,10.5,591,Alto
Belize,263,114,8,6.8,385,Médio
Benin,34,4,13,1.1,51,Muito Baixo
Bhutan,23,0,0,0.4,23,Muito Baixo
Bolivia,167,41,8,3.8,216,Baixo
Bosnia-Herzegovina,76,173,8,4.6,257,Baixo
Botswana,173,35,35,5.4,243,Médio
Brazil,245,145,16,7.2,406,Médio
Brunei,31,2,1,0.6,34,Muito Baixo
Bulgaria,231,252,94,10.3,577,Alto
Burkina Faso,25,7,7,4.3,39,Baixo
Burundi,88,0,0,6.3,88,Médio
Cote d'Ivoire,37,1,7,4.0,45,Baixo
Cabo Verde,144,56,16,4.0,216,Baixo
Cambodia,57,65,1,2.2,123,Baixo
Cameroon,147,1,4,5.8,152,Médio
Canada,240,122,100,8.2,462,Alto
Central African Republic,17,2,1,1.8,20,Muito Baixo
Chad,15,1,1,0.4,17,Muito Baixo
Chile,130,124,172,7.6,426,Médio
China,79,192,8,5.0,279,Médio
Colombia,159,76,3,4.2,238,Baixo
Comoros,1,3,1,0.1,5,Muito Baixo
Congo,76,1,9,1.7,86,Muito Baixo
Cook Islands,0,254,74,5.9,328,Médio
Costa Rica,149,87,11,4.4,247,Baixo
Croatia,230,87,254,10.2,571,Alto
Cuba,93,137,5,4.2,235,Baixo
Cyprus,192,154,113,8.2,459,Alto
